Back to Contents,Data 1: North Carolina Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Sourcekey,N3010NC3
Date,North Carolina Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Jan-1989,6.17
Feb-1989,6.3
Mar-1989,6.29
Apr-1989,6.8
May-1989,6.99
Jun-1989,8.02
Jul-1989,8.71
Aug-1989,8.97
Sep-1989,8.68
Oct-1989,7.44
Nov-1989,6.61
Dec-1989,5.99
Jan-1990,5.71
Feb-1990,5.79
Mar-1990,5.84
Apr-1990,5.86
May-1990,6.82
Jun-1990,7.93
Jul-1990,8.37
Aug-1990,8.44
Sep-1990,8.42
Oct-1990,7.48
Nov-1990,6.17
Dec-1990,5.98
Jan-1991,5.77
Feb-1991,5.58
Mar-1991,5.64
Apr-1991,6.05
May-1991,7.08
Jun-1991,8.24
Jul-1991,8.79
Aug-1991,9.13
Sep-1991,8.89
Oct-1991,7.02
Nov-1991,6.06
Dec-1991,6.57
Jan-1992,6.3
Feb-1992,5.91
Mar-1992,6.03
Apr-1992,5.54
May-1992,6.74
Jun-1992,8.24
Jul-1992,9.89
Aug-1992,10.51
Sep-1992,10.03
Oct-1992,7.72
Nov-1992,7.12
Dec-1992,6.66
Jan-1993,6.74
Feb-1993,6.56
Mar-1993,6.07
Apr-1993,6.32
May-1993,7.69
Jun-1993,9.55
Jul-1993,10.47
Aug-1993,10.88
Sep-1993,10.52
Oct-1993,8.54
Nov-1993,7.09
Dec-1993,7.13
Jan-1994,6.49
Feb-1994,6.65
Mar-1994,7.03
Apr-1994,7.41
May-1994,8.31
Jun-1994,9.22
Jul-1994,10.5
Aug-1994,10.91
Sep-1994,10.31
Oct-1994,8.57
Nov-1994,7.55
Dec-1994,7.47
Jan-1995,6.69
Feb-1995,6.13
Mar-1995,6.65
Apr-1995,7.12
May-1995,8
Jun-1995,9.89
Jul-1995,10.54
Aug-1995,11.61
Sep-1995,10.65
Oct-1995,8.94
Nov-1995,6.5
Dec-1995,6.21
Jan-1996,6.15
Feb-1996,6.83
Mar-1996,7.54
Apr-1996,7.31
May-1996,9.07
Jun-1996,11.48
Jul-1996,11.13
Aug-1996,12.81
Sep-1996,12.45
Oct-1996,9.93
Nov-1996,8.21
Dec-1996,7.9
Jan-1997,8.75
Feb-1997,8.74
Mar-1997,9.57
Apr-1997,8.66
May-1997,8.56
Jun-1997,10.28
Jul-1997,12.39
Aug-1997,13.12
Sep-1997,13.08
Oct-1997,11.17
Nov-1997,8.21
Dec-1997,8.03
Jan-1998,8.31
Feb-1998,7.91
Mar-1998,7.75
Apr-1998,7.89
May-1998,9.26
Jun-1998,11.78
Jul-1998,12.02
Aug-1998,13.25
Sep-1998,12.53
Oct-1998,11.7
Nov-1998,8.31
Dec-1998,9.45
Jan-1999,7.56
Feb-1999,8.4
Mar-1999,6.2
Apr-1999,7.92
May-1999,8.76
Jun-1999,12.99
Jul-1999,12.34
Aug-1999,13.2
Sep-1999,11.71
Oct-1999,10.77
Nov-1999,8.95
Dec-1999,8.95
Jan-2000,8.31
Feb-2000,7.62
Mar-2000,9.11
Apr-2000,8.51
May-2000,11
Jun-2000,12.59
Jul-2000,14.87
Aug-2000,15.29
Sep-2000,15.24
Oct-2000,12.63
Nov-2000,10.9
Dec-2000,9.97
Jan-2001,11.38
Feb-2001,13.13
Mar-2001,12.87
Apr-2001,13.38
May-2001,13.96
Jun-2001,16.67
Jul-2001,16.49
Aug-2001,16.94
Sep-2001,15.33
Oct-2001,11.81
Nov-2001,10.19
Dec-2001,10.48
Jan-2002,8.34
Feb-2002,8.6
Mar-2002,8.03
Apr-2002,8.8
May-2002,11.07
Jun-2002,12.86
Jul-2002,15.22
Aug-2002,16.06
Sep-2002,14.87
Oct-2002,11.54
Nov-2002,9.54
Dec-2002,9.41
Jan-2003,9.33
Feb-2003,9.34
Mar-2003,11.01
Apr-2003,12.08
May-2003,14
Jun-2003,16.59
Jul-2003,18.14
Aug-2003,19.06
Sep-2003,18.04
Oct-2003,14.42
Nov-2003,14.45
Dec-2003,11.48
Jan-2004,11.3
Feb-2004,10.96
Mar-2004,11.51
Apr-2004,12.86
May-2004,13.9
Jun-2004,16.7
Jul-2004,17.67
Aug-2004,18.52
Sep-2004,19.54
Oct-2004,16.52
Nov-2004,14.46
Dec-2004,14.08
Jan-2005,13.69
Feb-2005,12.75
Mar-2005,12.34
Apr-2005,13.3
May-2005,14.27
Jun-2005,18.11
Jul-2005,19.33
Aug-2005,21.09
Sep-2005,20.95
Oct-2005,20.69
Nov-2005,19.66
Dec-2005,19.62
Jan-2006,18.86
Feb-2006,16.22
Mar-2006,15.01
Apr-2006,15.09
May-2006,18.4
Jun-2006,20.37
Jul-2006,21.6
Aug-2006,23.14
Sep-2006,21.66
Oct-2006,17.35
Nov-2006,15.71
Dec-2006,15.83
Jan-2007,14.78
Feb-2007,13.87
Mar-2007,14.92
Apr-2007,15.35
May-2007,17.39
Jun-2007,20.9
Jul-2007,22.35
Aug-2007,23.77
Sep-2007,23.06
Oct-2007,21.3
Nov-2007,15.81
Dec-2007,15.55
Jan-2008,15.06
Feb-2008,15.23
Mar-2008,15.59
Apr-2008,17.2
May-2008,21.3
Jun-2008,25.11
Jul-2008,26.85
Aug-2008,27.18
Sep-2008,24.35
Oct-2008,18.67
Nov-2008,15.39
Dec-2008,15.96
Jan-2009,14.28
Feb-2009,13.42
Mar-2009,13.28
Apr-2009,15.81
May-2009,20.64
Jun-2009,27.12
Jul-2009,23.24
Aug-2009,23.27
Sep-2009,21.61
Oct-2009,16.71
Nov-2009,13.58
Dec-2009,11.8
Jan-2010,11.54
Feb-2010,11.59
Mar-2010,12.89
Apr-2010,19.11
May-2010,20.95
Jun-2010,23.12
Jul-2010,25.87
Aug-2010,23.64
Sep-2010,23.71
Oct-2010,18.79
Nov-2010,12.02
Dec-2010,9.94
Jan-2011,10.45
Feb-2011,12.01
Mar-2011,11.86
Apr-2011,14.62
May-2011,19.02
Jun-2011,21.94
Jul-2011,22.85
Aug-2011,22.26
Sep-2011,21.11
Oct-2011,14.95
Nov-2011,11.73
Dec-2011,11.74
Jan-2012,10.95
Feb-2012,10.44
Mar-2012,13.92
Apr-2012,15.21
May-2012,16.87
Jun-2012,18.85
Jul-2012,21.56
Aug-2012,21.41
Sep-2012,20.48
Oct-2012,14.26
Nov-2012,10.32
Dec-2012,10.84
Jan-2013,10.89
Feb-2013,10.03
Mar-2013,10.6
Apr-2013,12.39
May-2013,17.15
Jun-2013,22.72
Jul-2013,21.61
Aug-2013,22.05
Sep-2013,21.37
Oct-2013,16.72
Nov-2013,11.03
Dec-2013,11.22
Jan-2014,10.46
Feb-2014,11.38
Mar-2014,10.23
Apr-2014,13.64
May-2014,21.09
Jun-2014,24.63
Jul-2014,21.55
Aug-2014,23.23
Sep-2014,20.77
Oct-2014,15.88
Nov-2014,10.89
Dec-2014,11.3
Jan-2015,10.05
Feb-2015,8.93
Mar-2015,10.08
Apr-2015,14.25
May-2015,17.62
Jun-2015,20.97
Jul-2015,21.14
Aug-2015,21.94
Sep-2015,21.77
Oct-2015,14.61
Nov-2015,12.15
Dec-2015,12.87
Jan-2016,8.76
Feb-2016,9.06
Mar-2016,12.62
Apr-2016,13.11
May-2016,16.42
Jun-2016,19.62
Jul-2016,22.51
Aug-2016,21.26
Sep-2016,21.7
Oct-2016,18.54
Nov-2016,11.89
Dec-2016,10.61
Jan-2017,11.72
Feb-2017,13.82
Mar-2017,11.65
Apr-2017,17.86
May-2017,19.75
Jun-2017,23.15
Jul-2017,22.49
Aug-2017,23.14
Sep-2017,22.88
Oct-2017,19.66
Nov-2017,11.93
Dec-2017,10.7
Jan-2018,9.77
Feb-2018,13.53
Mar-2018,10.46
Apr-2018,13.25
May-2018,20.82
Jun-2018,21.56
Jul-2018,24.76
Aug-2018,21.73
Sep-2018,25.37
Oct-2018,17.31
Nov-2018,10.86
Dec-2018,11.08
Jan-2019,11.43
Feb-2019,12.54
Mar-2019,10.51
Apr-2019,14.93
May-2019,23.46
Jun-2019,19.11
Jul-2019,24.37
Aug-2019,21.88
Sep-2019,25.24
Oct-2019,21.77
Nov-2019,11.42
Dec-2019,11.42
Jan-2020,11.63
Feb-2020,11.45
Mar-2020,14.21
Apr-2020,13.85
May-2020,12.62
Jun-2020,18.35
Jul-2020,25.71
Aug-2020,20.13
Sep-2020,18.93
Oct-2020,21.24
Nov-2020,15.14
Dec-2020,11.11
Jan-2021,11.03
Feb-2021,11.05
Mar-2021,13.36
Apr-2021,14.48
May-2021,16.42
Jun-2021,22.23
Jul-2021,22.87
Aug-2021,19.26
Sep-2021,22.79
Oct-2021,24.45
Nov-2021,14.6
Dec-2021,17.24
Jan-2022,13.62
Feb-2022,14.72
Mar-2022,18.95
Apr-2022,17.85
May-2022,26.45
Jun-2022,27.17
Jul-2022,30.43
Aug-2022,27.23
Sep-2022,26.09
Oct-2022,22.04
Nov-2022,20.76
Dec-2022,16.6
Jan-2023,18.94
,
